Q38,Q39,Q40,Q41,Q42,Q43,Q44,Q45,Q47,Q48,Q49,Q50,Q2,Q3,Q4,Q5,Q7,Q8,Q9,Q11,Q12,Q37,Q18,Q13,Q19,Q20,Q21,Q22,Q17,Q14,Q23,Q24,Q25,Q26,Q16,Q15,Q27,Q28,Q29,Q30,Q31,Q32,Q33,Q34,Q35,Q36,Q10,Q46
I have taken a quantitative research methods course before,I am interested in using quantitative research methods in my own work,I know what a type I error is,I know what a type II error is,I know what a (statistical) confidence level is,I know what a p value is,I know what p-hacking means,I know what statistical power means,I have heard of frequentist statistics before,I have heard of Bayesian statistics before,"I have heard the term ""parametric statistics"" before","I have heard the term ""non-parametric statistics"" before",I know what a histogram is.,I know what a probability distribution is.,I know what a random variable is.,I know what a probability distribution function is.,I know what a cumulative distribution function is.,I know what the expectation of a random variable is.,I know how to calculate the variance of a random variable.,I know what a z score is.,I know how to calculate the correlation between two variables.,I know how to interpret the correlation coefficient between two variables,I have heard of linear regression,"I know how to run a linear regression (in some software...or by hand, if I'm feeling wild).",I know how to interpret a linear regression.,I have heard of multiple regression,I know how to perform a multiple regression,I know how to interpret a multiple regression,I have heard of logistic regression.,I understand when to use a logistic regression.,I know how to interpret the results of a logistic regression,I have heard of t-tests,I have performed a t-test before,I know how to interpret the results of a t-test,I have heard of Analysis of Variance.,I understand when to run an Analysis of Variance (ANOVA),I know how to interpret the results from an ANOVA,I have heard of a chi-square test,I have used a chi-square test before,I know how to interpret the results of a chi-square test,I have heard of cluster analysis before,I have used cluster analysis before,I know how to interpret the results of a cluster analysis,I have heard of factor analysis (either exploratory or confirmatory),I have used factor analysis (either exploratory or confirmatory),I know how to interpret the results of a factor analysis (either exploratory or confirmatory),I already have R and Rstudio downloaded to my computer.,I have used R before
"{""ImportId"":""QID38""}","{""ImportId"":""QID39""}","{""ImportId"":""QID40""}","{""ImportId"":""QID41""}","{""ImportId"":""QID42""}","{""ImportId"":""QID43""}","{""ImportId"":""QID44""}","{""ImportId"":""QID45""}","{""ImportId"":""QID47""}","{""ImportId"":""QID48""}","{""ImportId"":""QID49""}","{""ImportId"":""QID50""}","{""ImportId"":""QID2""}","{""ImportId"":""QID3""}","{""ImportId"":""QID4""}","{""ImportId"":""QID5""}","{""ImportId"":""QID7""}","{""ImportId"":""QID8""}","{""ImportId"":""QID9""}","{""ImportId"":""QID11""}","{""ImportId"":""QID12""}","{""ImportId"":""QID37""}","{""ImportId"":""QID18""}","{""ImportId"":""QID13""}","{""ImportId"":""QID19""}","{""ImportId"":""QID20""}","{""ImportId"":""QID21""}","{""ImportId"":""QID22""}","{""ImportId"":""QID17""}","{""ImportId"":""QID14""}","{""ImportId"":""QID23""}","{""ImportId"":""QID24""}","{""ImportId"":""QID25""}","{""ImportId"":""QID26""}","{""ImportId"":""QID16""}","{""ImportId"":""QID15""}","{""ImportId"":""QID27""}","{""ImportId"":""QID28""}","{""ImportId"":""QID29""}","{""ImportId"":""QID30""}","{""ImportId"":""QID31""}","{""ImportId"":""QID32""}","{""ImportId"":""QID33""}","{""ImportId"":""QID34""}","{""ImportId"":""QID35""}","{""ImportId"":""QID36""}","{""ImportId"":""QID10""}","{""ImportId"":""QID46""}"
Somewhat disagree,Somewhat agree,Strongly disagree,Strongly disagree,Somewhat disagree,Strongly disagree,Strongly disagree,Neither agree nor disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Somewhat agree,Somewhat disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Somewhat disagree,Strongly disagree,Strongly agree,Somewhat disagree,Somewhat disagree,Strongly agree,Strongly disagree,Strongly disagree,Somewhat agree,Strongly disagree,Strongly disagree,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Somewhat disagree,Somewhat agree,Strongly agree,Somewhat agree,Somewhat disagree,Strongly agree,Strongly disagree,Somewhat disagree,Strongly agree,Strongly disagree,Somewhat disagree,Strongly agree,Strongly agree
Strongly disagree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Strongly disagree,Strongly disagree,Strongly disagree,Somewhat disagree,Neither agree nor disagree,Neither agree nor disagree,Strongly agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,Somewhat disagree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat disagree,Neither agree nor disagree,Strongly disagree,Strongly disagree,Neither agree nor disagree,Strongly disagree,Strongly disagree,Strongly agree,Strongly agree,Somewhat agree,Neither agree nor disagree,Somewhat disagree,Somewhat disagree,Somewhat agree,Neither agree nor disagree,Strongly disagree,Somewhat agree,Neither agree nor disagree,Strongly disagree,Somewhat agree,Strongly disagree,Strongly disagree,Strongly disagree,Somewhat agree
Strongly disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Strongly disagree,Somewhat disagree,Strongly disagree,Strongly disagree,Somewhat agree,Neither agree nor disagree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Strongly disagree,Somewhat disagree,Strongly disagree,Strongly disagree,Somewhat disagree,Somewhat disagree,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Somewhat agree,Somewhat disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly agree,Strongly disagree,Strongly disagree,Strongly agree,Strongly disagree,Strongly disagree,Somewhat agree,Strongly disagree,Strongly disagree,Somewhat agree,Strongly disagree,Strongly disagree,Somewhat agree,Strongly disagree,Somewhat disagree,Strongly agree,Strongly disagree
Somewhat disagree,Strongly agree,Strongly disagree,Strongly disagree,Somewhat agree,Neither agree nor disagree,Somewhat disagree,Somewhat disagree,Strongly disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Strongly agree,Strongly agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Strongly agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Neither agree nor disagree,Somewhat disagree,Somewhat disagree,Strongly disagree,Strongly disagree
Somewhat agree,Strongly agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat disagree,Neither agree nor disagree,Strongly disagree,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat disagree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Strongly agree,Somewhat agree,Strongly agree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree,Somewhat agree,Neither agree nor disagree,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat agree,Somewhat disagree,Somewhat agree,Strongly disagree,Strongly disagree
Somewhat disagree,Somewhat agree,Somewhat disagree,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat disagree,Neither agree nor disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat disagree,Somewhat agree,Somewhat disagree,Somewhat disagree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Somewhat disagree,Somewhat disagree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Strongly disagree,Strongly disagree
Strongly disagree,Somewhat agree,Strongly disagree,Strongly disagree,Somewhat agree,Somewhat agree,Strongly disagree,Strongly disagree,Strongly disagree,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Somewhat agree,Somewhat disagree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Somewhat disagree,Somewhat agree,Strongly disagree,Somewhat disagree,Somewhat agree,Strongly disagree,Strongly disagree,Somewhat agree,Strongly disagree,Somewhat disagree,Strongly agree,Strongly disagree,Somewhat disagree,Somewhat agree,Strongly disagree,Strongly disagree,Somewhat agree,Strongly disagree,Strongly disagree,Somewhat agree,Strongly disagree,Strongly disagree,Somewhat agree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree
Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat agree,Strongly disagree,Somewhat disagree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat disagree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Somewhat disagree,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat disagree,Somewhat disagree,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Somewhat agree,Somewhat agree,Strongly agree,Somewhat agree,Somewhat disagree,Strongly agree,Strongly agree,Somewhat agree,Neither agree nor disagree,Somewhat disagree,Strongly disagree,Somewhat disagree,Strongly agree
