Locality,Div_num,EngAll2012_13,EngAllr2013_14,EngAll2014_15,EngAll2015_16,EngAll2016_17,Eng4yr2012_13,Eng4yr2013_14,Eng4yr2014_15,Eng4yr2015_16,Eng4yr2016_17,Eng2yr2012_13,Eng2yr2013_14,Eng2yr2014_15,Eng2yr2015_16,Eng2yr2016_17,TotEngAll,TotEng2yr,TotEng4yr
Accomack County,1,3,2,3,2,5,3,2,3,2,5,0,0,0,0,0,15,0,15
Albemarle County,2,27,30,36,33,40,12,24,26,24,34,15,6,10,9,6,166,46,120
Alexandria city,101,36,37,38,29,36,23,24,25,17,24,13,13,13,12,12,176,63,113
Alleghany County,3,3,0,0,1,2,3,0,0,1,2,0,0,0,0,0,6,0,6
Amelia County,4,1,1,3,0,0,1,1,2,0,0,0,0,1,0,0,5,1,4
Amherst County,5,5,5,5,9,7,3,5,3,7,5,2,0,2,2,2,31,8,23
Appomattox County,6,1,1,0,4,0,1,1,0,3,0,0,0,0,1,0,6,1,5
Arlington County,7,35,34,56,47,48,24,30,39,34,41,11,4,17,13,7,220,52,168
Augusta County,8,8,8,11,12,10,8,7,10,12,8,0,1,1,0,2,49,4,45
Bath County,9,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,2,1,1
Bedford city,140,5,2,2,2,0,5,2,2,1,0,0,0,0,1,0,11,1,10
Bedford County,10,27,15,31,33,19,19,11,23,25,10,8,4,8,8,9,125,37,88
Bland County,11,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,2,0,2
Botetourt County,12,12,17,19,16,22,11,12,13,11,17,1,5,6,5,5,86,22,64
Bristol city,102,3,1,5,1,2,3,1,5,1,2,0,0,0,0,0,12,0,12
Brunswick County,13,1,1,0,0,1,1,1,0,0,1,0,0,0,0,0,3,0,3
Buchanan County,14,1,0,1,2,1,1,0,1,2,1,0,0,0,0,0,5,0,5
Buckingham County,15,2,1,0,1,0,1,1,0,1,0,1,0,0,0,0,4,1,3
