standing,discipline,min_outdoors,min_zoom,undergrad,masters,phd,civil,mechanical,electrical,happiness
undergrad,mechanical,37,295,1,0,0,0,1,0,27.89348359866333
undergrad,civil,24,214,1,0,0,1,0,0,65.42049196119237
undergrad,electrical,7,86,1,0,0,0,0,1,-2.364803319958643
undergrad,mechanical,151,155,1,0,0,0,1,0,59.94202651732063
undergrad,civil,238,365,1,0,0,1,0,0,63.16152257788629
undergrad,electrical,263,17,1,0,0,0,0,1,72.56072865358936
undergrad,mechanical,168,315,1,0,0,0,1,0,27.44495763332965
undergrad,civil,122,70,1,0,0,1,0,0,59.27611845050524
undergrad,electrical,32,6,1,0,0,0,0,1,43.62549897932653
undergrad,mechanical,90,352,1,0,0,0,1,0,46.2531604402234
undergrad,civil,226,335,1,0,0,1,0,0,66.50056113389778
undergrad,electrical,102,110,1,0,0,0,0,1,51.44441866862837
undergrad,mechanical,126,83,1,0,0,0,1,0,48.99216236013837
undergrad,civil,299,153,1,0,0,1,0,0,54.75307126939536
undergrad,electrical,281,68,1,0,0,0,0,1,44.44050679803168
undergrad,mechanical,98,20,1,0,0,0,1,0,78.38683725435877
undergrad,civil,119,236,1,0,0,1,0,0,78.10084812470873
undergrad,electrical,29,321,1,0,0,0,0,1,50.68360630260569
undergrad,mechanical,242,323,1,0,0,0,1,0,48.96514524825507
undergrad,civil,263,4,1,0,0,1,0,0,58.671843426085275
undergrad,electrical,269,274,1,0,0,0,0,1,54.84625108574632
undergrad,mechanical,58,159,1,0,0,0,1,0,52.15173693168889
undergrad,civil,211,27,1,0,0,1,0,0,53.191773768323955
undergrad,electrical,206,270,1,0,0,0,0,1,44.13709643243959
undergrad,mechanical,5,342,1,0,0,0,1,0,61.12834652466593
undergrad,civil,173,343,1,0,0,1,0,0,35.654093621814276
undergrad,electrical,93,167,1,0,0,0,0,1,44.32641038718062
undergrad,mechanical,4,349,1,0,0,0,1,0,22.271040261315903
undergrad,civil,12,36,1,0,0,1,0,0,54.73445659499423
undergrad,electrical,193,388,1,0,0,0,0,1,45.90541667829429
undergrad,mechanical,278,336,1,0,0,0,1,0,50.01595503379107
undergrad,civil,195,144,1,0,0,1,0,0,33.991298798736864
undergrad,electrical,145,292,1,0,0,0,0,1,39.5849705635211
undergrad,mechanical,45,144,1,0,0,0,1,0,54.15455168046506
undergrad,civil,104,343,1,0,0,1,0,0,63.47839054174743
undergrad,electrical,98,119,1,0,0,0,0,1,44.972956679201076
undergrad,mechanical,281,217,1,0,0,0,1,0,66.75776030779627
undergrad,civil,279,26,1,0,0,1,0,0,57.220885733535
undergrad,electrical,280,74,1,0,0,0,0,1,52.253622365525096
undergrad,mechanical,184,90,1,0,0,0,1,0,58.20550373395075
undergrad,civil,215,185,1,0,0,1,0,0,47.08183965941279
undergrad,electrical,51,309,1,0,0,0,0,1,45.49391495124932
undergrad,mechanical,52,366,1,0,0,0,1,0,31.73568433769438
undergrad,civil,173,353,1,0,0,1,0,0,83.43947573449512
undergrad,electrical,83,199,1,0,0,0,0,1,64.22637377475309
undergrad,mechanical,252,151,1,0,0,0,1,0,58.00621538625242
undergrad,civil,46,188,1,0,0,1,0,0,59.10249041814162
undergrad,electrical,183,258,1,0,0,0,0,1,79.44711336694408
undergrad,mechanical,120,352,1,0,0,0,1,0,54.29101536002145
undergrad,civil,290,221,1,0,0,1,0,0,66.67385691634811
undergrad,electrical,68,215,1,0,0,0,0,1,49.514284020884816
undergrad,mechanical,226,23,1,0,0,0,1,0,80.14145840292606
undergrad,civil,82,234,1,0,0,1,0,0,66.16466437500031
undergrad,electrical,189,283,1,0,0,0,0,1,36.11362772609141
undergrad,mechanical,294,105,1,0,0,0,1,0,58.94484681130553
undergrad,civil,185,145,1,0,0,1,0,0,44.07817056330509
undergrad,electrical,230,254,1,0,0,0,0,1,40.76236911903183
undergrad,mechanical,181,99,1,0,0,0,1,0,66.25633133971434
undergrad,civil,121,87,1,0,0,1,0,0,63.69024485611104
undergrad,electrical,87,132,1,0,0,0,0,1,38.47777363319323
undergrad,mechanical,71,332,1,0,0,0,1,0,30.650625533137358
undergrad,civil,177,119,1,0,0,1,0,0,42.18774306334447
undergrad,electrical,116,329,1,0,0,0,0,1,56.64929162635285
undergrad,mechanical,263,199,1,0,0,0,1,0,39.11596209353572
undergrad,civil,88,378,1,0,0,1,0,0,59.48620510114279
undergrad,electrical,271,174,1,0,0,0,0,1,40.13672605480896
